[2025-04-11 03:05:01.508] INFO     (root) Configured logger (level=INFO, file=/home/yadunand/sc_2025_agents/experiment_2/powerlaw.96.small/top_level.log)
[2025-04-11 03:05:01.512] INFO     (aeris.agent) Running agent (AgentID<d8126f54>; Behavior<Tracker>)
[2025-04-11 03:05:01.517] INFO     (__main__) Launching 96 nodes
[2025-04-11 03:05:01.517] INFO     (dml_agent) [0] Initalized
[2025-04-11 03:05:01.518] INFO     (parsl.dataflow.dflow) Task 0 submitted for App _run_agent_on_worker, not waiting on any dependency
[2025-04-11 03:05:01.520] INFO     (dml_agent) [1] Initalized
[2025-04-11 03:05:01.520] INFO     (parsl.dataflow.dflow) Parsl task 0 try 0 launched on executor HighThroughputExecutor with executor id 1
[2025-04-11 03:05:01.520] INFO     (parsl.dataflow.dflow) Task 1 submitted for App _run_agent_on_worker, not waiting on any dependency
[2025-04-11 03:05:01.520] INFO     (parsl.dataflow.dflow) Standard out for task 0 will not be redirected.
[2025-04-11 03:05:01.520] INFO     (dml_agent) [2] Initalized
[2025-04-11 03:05:01.520] INFO     (parsl.dataflow.dflow) Standard error for task 0 will not be redirected.
[2025-04-11 03:05:01.520] INFO     (parsl.dataflow.dflow) Task 2 submitted for App _run_agent_on_worker, not waiting on any dependency
[2025-04-11 03:05:01.521] INFO     (dml_agent) [3] Initalized
[2025-04-11 03:05:01.521] INFO     (parsl.dataflow.dflow) Parsl task 1 try 0 launched on executor HighThroughputExecutor with executor id 2
[2025-04-11 03:05:01.521] INFO     (parsl.dataflow.dflow) Task 3 submitted for App _run_agent_on_worker, not waiting on any dependency
[2025-04-11 03:05:01.521] INFO     (parsl.dataflow.dflow) Standard out for task 1 will not be redirected.
[2025-04-11 03:05:01.521] INFO     (dml_agent) [4] Initalized
[2025-04-11 03:05:01.521] INFO     (parsl.dataflow.dflow) Standard error for task 1 will not be redirected.
[2025-04-11 03:05:01.521] INFO     (parsl.dataflow.dflow) Task 4 submitted for App _run_agent_on_worker, not waiting on any dependency
[2025-04-11 03:05:01.521] INFO     (dml_agent) [5] Initalized
[2025-04-11 03:05:01.521] INFO     (parsl.dataflow.dflow) Parsl task 2 try 0 launched on executor HighThroughputExecutor with executor id 3
[2025-04-11 03:05:01.521] INFO     (parsl.dataflow.dflow) Task 5 submitted for App _run_agent_on_worker, not waiting on any dependency
[2025-04-11 03:05:01.522] INFO     (parsl.dataflow.dflow) Standard out for task 2 will not be redirected.
[2025-04-11 03:05:01.522] INFO     (dml_agent) [6] Initalized
[2025-04-11 03:05:01.522] INFO     (parsl.dataflow.dflow) Standard error for task 2 will not be redirected.
[2025-04-11 03:05:01.522] INFO     (parsl.dataflow.dflow) Task 6 submitted for App _run_agent_on_worker, not waiting on any dependency
[2025-04-11 03:05:01.522] INFO     (dml_agent) [7] Initalized
[2025-04-11 03:05:01.522] INFO     (parsl.dataflow.dflow) Parsl task 3 try 0 launched on executor HighThroughputExecutor with executor id 4
[2025-04-11 03:05:01.522] INFO     (parsl.dataflow.dflow) Task 7 submitted for App _run_agent_on_worker, not waiting on any dependency
[2025-04-11 03:05:01.522] INFO     (parsl.dataflow.dflow) Standard out for task 3 will not be redirected.
[2025-04-11 03:05:01.522] INFO     (dml_agent) [8] Initalized
[2025-04-11 03:05:01.522] INFO     (parsl.dataflow.dflow) Standard error for task 3 will not be redirected.
[2025-04-11 03:05:01.523] INFO     (parsl.dataflow.dflow) Task 8 submitted for App _run_agent_on_worker, not waiting on any dependency
[2025-04-11 03:05:01.523] INFO     (parsl.dataflow.dflow) Parsl task 4 try 0 launched on executor HighThroughputExecutor with executor id 5
[2025-04-11 03:05:01.523] INFO     (dml_agent) [9] Initalized
